Description,Unit,Unit Price,,,,,,,,
Remove Roof mount power attic vent - Large,EA,31.62,,,,,,,,
Roof mount power attic vent - Large,EA,298.66,,,,,,,,
Remove Roof mount power attic vent,EA,31.62,,,,,,,,
Roof mount power attic vent,EA,243.14,,,,,,,,
"Remove Exhaust cap - through roof - up to 4""",EA,11.36,,,,,,,,
"Exhaust cap - through roof - up to 4""",EA,90.62,,,,,,,,
"Remove Exhaust cap - through roof - 6"" to 8""",EA,11.36,,,,,,,,
"Exhaust cap - through roof - 6"" to 8""",EA,102.27,,,,,,,,
Remove Flashing - rain diverter,EA,11.16,,,,,,,,
Flashing - rain diverter,EA,44.54,,,,,,,,
Remove Flashing - kick-out diverter,EA,5.58,,,,,,,,
Flashing - kick-out diverter,EA,27.63,,,,,,,,
Remove Flashing - pipe jack - copper,EA,8.91,,,,,,,,
Flashing - pipe jack - copper,EA,94.51,,,,,,,,
Remove Flashing - pipe jack - lead,EA,8.91,,,,,,,,
Flashing - pipe jack - lead,EA,84.91,,,,,,,,
"Remove Flashing - pipe jack - 6""",EA,8.91,,,,,,,,
"Flashing - pipe jack - 6""",EA,66.3,,,,,,,,
"Remove Flashing - pipe jack - 8""",EA,8.91,,,,,,,,
"Flashing - pipe jack - 8""",EA,77.77,,,,,,,,
Remove Flashing - pipe jack - split boot,EA,10,,,,,,,,
Flashing - pipe jack - split boot,EA,86.81,,,,,,,,
Meter mast for overhead power - Detach & reset,EA,754.8,,,,,,,,
Remove Power attic vent cover only - metal,EA,15.82,,,,,,,,
Power attic vent cover only - metal,EA,97.21,,,,,,,,
Remove Power attic vent cover only - plastic,EA,15.82,,,,,,,,
Power attic vent cover only - plastic,EA,85.47,,,,,,,,
Power attic vent cover only - Detach & reset,EA,62,,,,,,,,
"Remove Rain cap - 10""",EA,6.33,,,,,,,,
"Rain cap - 10""",EA,87.9,,,,,,,,
"Remove Rain cap - 12""",EA,6.33,,,,,,,,
"Rain cap - 12""",EA,96.95,,,,,,,,
"Remove Rain cap - 4"" to 5""",EA,6.33,,,,,,,,
"Rain cap - 4"" to 5""",EA,50.13,,,,,,,,
"Remove Rain cap - 6""",EA,6.33,,,,,,,,
"Rain cap - 6""",EA,57.15,,,,,,,,
"Remove Rain cap - 8""",EA,6.33,,,,,,,,
"Rain cap - 8""",EA,63.95,,,,,,,,
Step flashing,LF,10.28,,,,,,,,
Remove Aluminum sidewall/endwall flashing - mill finish,LF,0.74,,,,,,,,
Aluminum sidewall/endwall flashing - mill finish,LF,6.77,,,,,,,,
"Remove Flashing 14"" wide",LF,0.74,,,,,,,,
"Flashing 14"" wide",LF,4.76,,,,,,,,
Remove Flashing - pipe jack,EA,8.91,,,,,,,,
Flashing - pipe jack,EA,50.12,,,,,,,,
"Remove Flashing 14"" wide - copper",LF,0.74,,,,,,,,
"Flashing 14"" wide - copper",LF,23.26,,,,,,,,
"Remove Flashing 20"" wide",LF,0.74,,,,,,,,
"Flashing 20"" wide",LF,5.03,,,,,,,,
Evaporative cooler - Detach & reset,EA,638,,,,,,,,
Television antenna - Detach & reset,EA,144.4,,,,,,,,
Digital satellite system - Detach & reset,EA,52.17,,,,,,,,
"Remove Chimney flashing - small (24"" x 24"")",EA,15.82,,,,,,,,
"Chimney flashing - small (24"" x 24"")",EA,327.54,,,,,,,,
Remove Saddle or cricket - up to 25 SF,EA,31.62,,,,,,,,
Saddle or cricket - up to 25 SF,EA,157.96,,,,,,,,
Remove Saddle or cricket - 26 to 50 SF,EA,47.43,,,,,,,,
Saddle or cricket - 26 to 50 SF,EA,275.2,,,,,,,,
"Remove Chimney flashing - average (32"" x 36"")",EA,23.72,,,,,,,,
"Chimney flashing - average (32"" x 36"")",EA,424.12,,,,,,,,
"Remove Chimney flashing - large (32"" x 60"")",EA,31.62,,,,,,,,
"Chimney flashing - large (32"" x 60"")",EA,565.14,,,,,,,,
Remove Skylight flashing kit - dome,EA,7.9,,,,,,,,
Skylight flashing kit - dome,EA,128.01,,,,,,,,
Remove Skylight flashing kit - dome - High grade,EA,7.9,,,,,,,,
Skylight flashing kit - dome - High grade,EA,138.63,,,,,,,,
Remove Skylight flashing kit - dome - Large - High grade,EA,9.49,,,,,,,,
Skylight flashing kit - dome - Large - High grade,EA,197.1,,,,,,,,
Remove Skylight flashing kit - dome - Large,EA,9.49,,,,,,,,
Skylight flashing kit - dome - Large,EA,144.47,,,,,,,,
Remove Roof window step flashing kit,EA,7.9,,,,,,,,
Roof window step flashing kit,EA,174.62,,,,,,,,
Remove Skylight - flat fixed 9.1 - 10 sf,EA,57.11,,,,,,,,
Skylight - flat fixed 9.1 - 10 sf,EA,933.17,,,,,,,,
Remove Roof window step flashing kit - Large,EA,9.49,,,,,,,,
Roof window step flashing kit - Large,EA,207.72,,,,,,,,
Remove Roof window (skylight) 12.1 - 15 sf,EA,76.19,,,,,,,,
Roof window (skylight) 12.1 - 15 sf,EA,1,,,,,,0,1,604.01
Remove Skylight - double dome fixed 6.6 - 9 sf,EA,28.57,,,,,,,,
Skylight - double dome fixed 6.6 - 9 sf,EA,568.18,,,,,,,,
Remove Skylight - double dome fixed 4 - 6.5 sf,EA,28.57,,,,,,,,
Skylight - double dome fixed 4 - 6.5 sf,EA,420.5,,,,,,,,
Remove Skylight - double dome fixed 9.1 - 12.5 sf,EA,38.08,,,,,,,,
Skylight - double dome fixed 9.1 - 12.5 sf,EA,640.36,,,,,,,,
Remove Skylight - double dome fixed 12.6 - 15.5 sf,EA,38.08,,,,,,,,
Skylight - double dome fixed 12.6 - 15.5 sf,EA,804.51,,,,,,,,
Remove Skylight - double dome venting 6.6 - 9 sf,EA,28.57,,,,,,,,
Skylight - double dome venting 6.6 - 9 sf,EA,867.34,,,,,,,,
Remove Skylight - double dome venting 4 - 6.5 sf,EA,28.57,,,,,,,,
Skylight - double dome venting 4 - 6.5 sf,EA,804.35,,,,,,,,
Remove Skylight - double dome venting 9.1 - 12. 5 sf,EA,38.08,,,,,,,,
Skylight - double dome venting 9.1 - 12.5 sf,EA,937.76,,,,,,1,2.07,
Remove Skylight - double dome venting 12.6 - 15. 5 sf,EA,38.08,,,,,,,,
Skylight - double dome venting 12.6 - 15.5 sf,EA,1,,,,,,0,1,111.93
Remove Skylight - single dome fixed 6.6 - 9 sf,EA,28.57,,,,,,,,
Skylight - single dome fixed 6.6 - 9 sf,EA,430.23,,,,,,,,
Remove Skylight - single dome fixed 4 - 6.5 sf,EA,28.57,,,,,,,,
Skylight - single dome fixed 4 - 6.5 sf,EA,345.13,,,,,,,,
Remove Skylight - single dome fixed 9.1 - 12.5 sf,EA,38.08,,,,,,,,
Skylight - single dome fixed 9.1 - 12.5 sf,EA,590.54,,,,,,,,
Remove Skylight - single dome fixed 12.6 - 15.5 sf,EA,38.08,,,,,,,,
Skylight - single dome fixed 12.6 - 15.5 sf,EA,672.94,,,,,,,,
Remove Skylight - single dome venting 6.6 - 9 sf,EA,28.57,,,,,,,,
Skylight - single dome venting 6.6 - 9 sf,EA,793.47,,,,,,,,
Remove Skylight - single dome venting 4 - 6.5 sf,EA,28.57,,,,,,,,
Skylight - single dome venting 4 - 6.5 sf,EA,672.7,,,,,,,,
Remove Skylight - single dome venting 9.1 - 12.5 sf,EA,38.08,,,,,,,,
Skylight - single dome venting 9.1 - 12.5 sf,EA,849.4,,,,,,,,
Remove Skylight - single dome venting 12.6 - 15. 5 sf,EA,38.08,,,,,,,,
Skylight - single dome venting 12.6 - 15.5 sf,EA,968.05,,,,,,1,33,
Remove Skylight - flat fixed 6.1 - 9 sf,EA,57.11,,,,,,,,
Skylight - flat fixed 6.1 - 9 sf,EA,823,,,,,,,,
Remove Skylight - flat fixed up to 6 sf,EA,57.11,,,,,,,,
Skylight - flat fixed up to 6 sf,EA,742.81,,,,,,,,
Remove Skylight - flat fixed 10.1 - 12 sf,EA,76.19,,,,,,,,
Skylight - flat fixed 10.1 - 12 sf,EA,985.61,,,,,,1,52.42,
Remove Skylight - flat fixed 12.1 - 15 sf,EA,76.19,,,,,,,,
Skylight - flat fixed 12.1 - 15 sf,EA,1,,,,,,0,1,166.8
Remove Roof window (skylight) 6.1 - 9 sf,EA,57.11,,,,,,,,
Roof window (skylight) 6.1 - 9 sf,EA,1,,,,,,0,1,264.24
Remove Roof window (skylight) up to 6 sf,EA,57.11,,,,,,,,
Roof window (skylight) up to 6 sf,EA,1,,,,,,0,1,141.76
Remove Roof window (skylight) 10.1 - 12 sf,EA,76.19,,,,,,,,
Roof window (skylight) 10.1 - 12 sf,EA,1,,,,,,0,1,421.78
Gutter guard/screen,LF,4.38,,,,,,,,
Detach & Reset Gutter guard/screen,LF,3.54,,,,,,,,
Gutter / downspout - Detach & reset,LF,5.45,,,,,,,,
Remove Drip edge/gutter apron,LF,0.41,,,,,,,,
Drip edge/gutter apron,LF,3.09,,,,,,,,
Remove Drip edge,LF,0.41,,,,,,,,
Drip edge,LF,2.81,,,,,,,,
Remove Drip edge - copper,LF,0.41,,,,,,,,
Drip edge - copper,LF,9.89,,,,,,,,
Sheathing - additional cost for H-clips,SF,0.12,,,,,,,,
"Remove Sheathing - OSB - 1/2""",SF,0.72,,,,,,,,
"Sheathing - OSB - 1/2""",SF,2.04,,,,,,,,
"Remove Sheathing - OSB - 5/8""",SF,0.72,,,,,,,,
"Sheathing - OSB - 5/8""",SF,2.33,,,,,,,,
Apply roofing sealant/cement - per LF,LF,0.72,,,,,,,,
Re-nailing of roof sheathing - complete re-nail,SF,0.24,,,,,,,,
Solar electric panel - Detach & reset,EA,277.49,,,,,,,,
Electrician - per hour,HR,129.73,,,,,,,,
Solar panel- mounting hardware- Detach & reset (per panel),EA,31.1,,,,,,,,
Remove Additional charge for steep roof - 7/12 to 9/12 slope,SQ,16.45,,,,,,,,
Additional charge for steep roof - 7/12 to 9/12 slope,SQ,41.33,,,,,,,,
Remove Additional charge for steep roof - 10/12 - 12/12 slope,SQ,25.83,,,,,,,,
Additional charge for steep roof - 10/12 - 12/12 slope,SQ,64.99,,,,,,,,
Remove Additional charge for steep roof greater than 12/12 slope,SQ,33.11,,,,,,,,
Additional charge for steep roof greater than 12/12 slope,SQ,84.77,,,,,,,,
Remove Additional charge for high roof (2 stories or greater),SQ,6.68,,,,,,,,
Additional charge for high roof (2 stories or greater),SQ,19.65,,,,,,,,
Roofing - General Laborer - per hour,HR,56.25,,,,,,,,
Roofing (Agreed Price),EA,0,,,,,,,,
Roofing (Bid Item),EA,0,,,,,,,,
Dumpster load - Approx. 12 yards 1-3 tons of debris,EA,480,,,,,,,,
Dumpster load - Approx. 20 yards 4 tons of debris,EA,690,,,,,,,,
Dumpster load - Approx. 30 yards 5-7 tons of debris,EA,865,,,,,,,,
Dumpster load - Approx. 40 yards 7-8 tons of debris,EA,970,,,,,,,,
Install Tarp - all-purpose poly - per sq ft (labor and material),SF,0.71,,,,,,,,
Material Only Tarp - all-purpose poly - per sq ft (labor and material),SF,0.3,,,,,,,,
Temporary repair services labor minimum,EA,209.77,,,,,,,,
